"HAUS","ANLAGE","ABLEINH","TOUR","ME_MA_ID","CITY1","CITY2","HOUSE_NUM1","POST_CODE1","EQUNR","ENTSCHEIDUNG","REGEL"
"SrnihWZwWljyyPupdUQzs/fLnROERyuZzxREMe/","WRSZZyMrJygCYrraTXVRkEOClMbwMosaDYPZTCT","J09C5082","J09C","erLFdclHUOCrsXdgVRqPZMYidxwOYhXQTQrSTcy","Altena","Dahle","22","58762","EkHVQndRfPeUVXgWXBmsXioVwQ+JRZRERXZdp/n","KSA","Standard nach Anzahl Stromzähler"
"XZU+oBVbqQXnGLxWRYXRRMKKmLeUXlTylGsT/UF","dSMRNSlHWHM+XgBaVQBwYZWSZWWQMaxRiZmCwpG","J09C4011","J09C_L","WAMtzZNNotkktXUeeDVVgRPalWNsGQCSQMOUegW","Lüdenscheid","","59","58513","GnqfpVUQUAUCBnRYPXKTXDOSbOMxgSI+JElZQjx","KSA","Standard nach Anzahl Stromzähler"
"ruFqCWezXWjQPCntwBAVZfbAaeCtrtJgRqXFOST","VWJLiIDTDLSP/vQmIXaCsHuLdtScZVMIuDPLo+J","J09C1622","J09C_J","u+luYTblQEXiGK+QzAEhmfXCIZsDXQiJBBHfjQd","Hagen","Halden","57","58093","VcHrStGTerWFL+xvptSqUswAJIMWtdaQqCHRiAD","EVU","Standard nach Anzahl Stromzähler"
"PwmWmashSLndHOAozYWRvNSUvicYRUylAWcmXUx","BxSjkuLJQEUtbXYcTqPnGIHxiaYKEjgXSWGXvRp","J09C3401","J09C_J","XLFyYJQZBAQhqqGZ+BGXADPmyYhEFQrWSnfUrqF","Hagen","Hohenlimburg","2","58093","FXXzHoXfUg+AZVMvUP+/HhWQlhetXRAURCCXtSw","KSA","Standard nach Anzahl Stromzähler"
"TBXUZInFbDvuYEqYYyfaXNSVrUmWmEqISVSxzIW","ttETXnSaMpfwDQFSbQxZsAUTxXaaeZl/KgYJvHG","J09C5482","J09C","LmUTQnVCTBsElGlcXRgXRTdbZtorPjFXTpFpRDT","Halver","Ehringhausen","2","58553","AbLxXGxVoxP/TcQbYkTXEMNwRfXlnZPWQyVAol+","KSA","Standard nach Anzahl Stromzähler"
"nqlZpAtWXP+Nb/msKsTFXZmHBeWZAQECpzAXVM/","VBqGSRQvRRhThITGrAZnYOyeQAWFfGjZBLrptEJ","J09C6104","J09C","MxXDyM+gcGWwXexPuwuVYhkKzMBmwFTSf+RuhRS","Neuenrade","Neuenrade","11","58809","S+BKmflWjqhoWsSztUdQXwTQmYXlwumZUrTWIQP","KSA","Standard nach Anzahl Stromzähler"
"fwsmIspSzYWrWGjRVhHVNrfUqopmRVhfYyRsECi","TK+yxjIXYKZBGEhmAwqTNWWdZQxZMWzSLHTZjrU","J09C3401","J09C_J","fVTmZtTiSLjyqWMtNWLZyWxMgODlWGJeWYLRtxt","Hagen","Hohenlimburg","2","58093","NDpupgpdPIYRQHbEnuURbVoh+QrWqYFrYFuvffX","EVU","Standard nach Anzahl Stromzähler"
"GmbtjQblRXLYzESiwGJntDNzFxWZoRvMvKU/XfY","psXv+iZXDAaKEVQusAYrVcRQISwlTuzqRHbrKdg","J09C1622","J09C_J","Pr+GqRYVWkVZUHTYTqrNXxQaRGQmlVJaRyGnHmr","Hagen","Halden","17","58093","UxskxSaodqYUoXqCQbjQQ+WusKldPVFYXCSOaUi","EVU","Standard nach Anzahl Stromzähler"
"rRXMIjZymZwlcZlTLXlTmfqSuOUwS/xBjwYvIAx","VMHkXDfipdXHeJXTQecsArHiafQcHDPCFXIakbu","J09C5084","J09C","VjZGkXeXjjyxPALTCSVRauF+TDwFLpXJIMWQEYG","Altena","Dahle","2","58762","TsVT/SLaqSNMeQyaoYETWYZPHQDyCtucLIhkLDz","KSA","Standard nach Anzahl Stromzähler"
"rzTfHnURuFjHuTZlYWMWnLFCfUrAEWNNcYfSuqG","WdUQhVBqSUpTNnYUxKPRBLSTQoSHLYfxPDKJVUB","J09C5484","J09C","QLsGIcLreMTwTUNZSwWj+wscUvcVYpjUMrmFVAX","Halver","Ehringhausen","6","58553","VWWswKJqrquH+WtcHePFiHzb+FYMrSnXTbgoU/G","KSA","Standard nach Anzahl Stromzähler"
